_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852Caf7205349164Bebcd69,11.0,2023.0,19.0,Ministero Universita' E Ricerca,To,1.0,250.0,40.0,202311.0,2025-06-18T16:15:20.148346,Operatore,To,19.0,Ministero Universita' E Ricerca,1.0,250.0
6852Caff6555Da0907A40857,7.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Bt,15.0,0.0,2.0,202307.0,2025-06-18T16:15:20.148346,Operatore,Bt,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,15.0,0.0
6852Caef205349164Bea2A6E,8.0,2021.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Aq,12.0,0.0,4.0,202308.0,2025-06-18T16:15:20.148346,Operatore,Aq,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,12.0,0.0
6852Cb029952Cb647Ef389E4,4.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Aq,12.0,0.0,3.0,202304.0,2025-06-18T16:15:20.148346,Dirigente,Aq,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,12.0,0.0
6852Cae9205349164Be90859,6.0,2023.0,22.0,Agenzia Delle Entrate,Vr,4.0,0.0,1.0,202306.0,2025-06-18T16:15:20.148346,Operatore,Vr,22.0,Agenzia Delle Entrate,4.0,0.0
6852Caed205349164Be9B770,11.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Sa,14.0,0.0,9.0,202311.0,2025-06-18T16:15:20.148346,Impiegato,Sa,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,14.0,0.0
6852Cae8205349164Be8Daf2,2.0,2024.0,12.0,Ministero Dell'Interno,Tr,9.0,1.0,2.0,202402.0,2025-06-18T16:15:20.148346,Funzionario,Tr,12.0,Ministero Dell'Interno,9.0,1.0
6852Caef205349164Bea272B,6.0,2023.0,22.0,Agenzia Delle Entrate,Rg,18.0,6.0,2.0,202306.0,2025-06-18T16:15:20.148346,Operatore,Rg,22.0,Agenzia Delle Entrate,18.0,6.0
6852Caea205349164Be90E4A,8.0,2023.0,954.0,Ispettorato Nazionale Del Lavoro,Bg,10.0,0.0,1.0,202311.0,Giu 18 2025,Operatore,Bg,954.0,Ispettorato Nazionale Del Lavoro,3.0,0.0
6852Caea205349164Be9116A,2.0,2024.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Pn,5.0,0.0,2.0,202402.0,2025-06-18T16:15:20.148346,Operatore,Pn,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,5.0,0.0
6852Caf7205349164Bebd802,4.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,Pt,8.0,12.0,9.0,202304.0,2025-06-18T16:15:20.148346,Operatore,Pt,4.0,Ministero Dell'Istruzione E Del Merito,8.0,12.0
6852Caf5205349164Beb4238,1.0,2023.0,19.0,Ministero Universita' E Ricerca,Fe,7.0,15.0,8.0,202301.0,2025-06-18T16:15:20.148346,Impiegato,Fe,19.0,Ministero Universita' E Ricerca,7.0,15.0
6852Caef205349164Bea04E9,1.0,2024.0,4.0,Ministero Dell'Istruzione E Del Merito,Si,8.0,9.0,6.0,202401.0,2025-06-18T16:15:20.148346,Operatore,Si,4.0,Ministero Dell'Istruzione E Del Merito,8.0,9.0
6852Caef205349164Bea1D12,2.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,Tp,18.0,6.0,3.0,202402.0,2025-06-18T16:15:20.148346,Operatore,Tp,4.0,Ministero Dell'Istruzione E Del Merito,18.0,6.0
6852Caef205349164Bea3562,12.0,1408.6958321381449,12.0,,?,18.0,3.0,3.0,202312.0,2025-06-18T16:15:20.148346,Operatore,Pa,12.0,Ministero Dell'Interno,18.0,3.0
6852Caf5205349164Beb48Eb,6.0,2024.0,14.0,Ministero Della Cultura,Go,5.0,6.0,0.0,202406.0,2025-06-18T16:15:20.148346,Operatore,Go,14.0,Ministero Della Cultura,5.0,6.0
6852Caf4205349164Beb0959,7.0,2024.0,22.0,Agenzia Delle Entrate,Le,15.0,0.0,1.0,202407.0,Giu 18 2025,Dirigente,Le,22.0,Agenzia Delle Entrate,15.0,0.0
6852Cb018D61D50C63E444Ef,1.0,2023.0,19.0,Ministero Universita' E Ricerca,Cl,18.0,38.0,4.0,202301.0,2025-06-18T16:15:20.148346,Funzionario,Cl,19.0,Ministero Universita' E Ricerca,18.0,38.0
6852Caed205349164Be9A0Dc,12.0,2024.0,9.0,Ministero Della Giustizia,Vr,4.0,8.0,8.0,202412.0,2025-06-18T16:15:20.148346,Operatore,Vr,9.0,Ministero Della Giustizia,4.0,8.0
6852Caef205349164Bea06Aa,7.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Ms,8.0,0.0,1.0,202309.0,2025-06-18T16:15:20.148346,Operatore,Ms,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,8.0,0.0
6852Caeb205349164Be977F5,4.0,2024.0,14.0,Ministero Della Cultura,Re,7.0,4.0,0.0,202404.0,2025-06-18T16:15:20.148346,Funzionario,Re,14.0,Ministero Della Cultura,7.0,4.0
6852Caeb205349164Be94Aa6,5.0,2023.0,9.0,Ministero Della Giustizia,Ss,19.0,16.0,5.0,202305.0,2025-06-18T16:15:20.148346,Dirigente,Ss,9.0,Ministero Della Giustizia,19.0,16.0
6852Caee205349164Be9Fac5,7.0,2024.0,954.0,Ministero Universita' E Ricerca,Sa,14.0,3.0,0.0,202407.0,2025-06-18T16:15:20.148346,Operatore,Sa,954.0,Ispettorato Nazionale Del Lavoro,14.0,3.0
6852Caea205349164Be91178,5.0,2023.0,9.0,Ministero Della Giustizia,Vr,4.0,0.0,2.0,202305.0,2025-06-18T16:15:20.148346,Operatore,Vr,9.0,Ministero Della Giustizia,4.0,0.0
6852Cad98D61D50C63E436A3,12.0,2024.0,16.0,C.N.E.L.- Consiglio Nazionale Dell'Economia E Del Lavoro,Rm,10.0,2.0,0.0,202412.0,2025-06-18T16:15:20.148346,Funzionario,Rm,16.0,C.N.E.L.- Consiglio Nazionale Dell'Economia E Del Lavoro,11.0,2.0
6852Caf5205349164Beb6833,4.0,2024.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Pu,10.0,0.0,2.0,202404.0,2025-06-18T16:15:20.148346,Operatore,Pu,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,10.0,0.0
6852Caf2205349164Bea941D,4.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Lo,3.0,1.0,0.0,202304.0,2025-06-18T16:15:20.148346,Operatore,Lo,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,3.0,1.0
6852Caf0205349164Bea5A1C,8.0,2024.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Bo,7.0,2.0,2.0,202408.0,2025-06-18T16:15:20.148346,Dirigente,Bo,2.0,Ministero Delle Infrastrutture E Dei Trasporti,7.0,2.0
6852Caf0205349164Bea4462,12.0,2023.0,12.0,Ministero Dell'Interno,Ra,7.0,0.0,2.0,202312.0,2025-06-18T16:15:20.148346,Operatore,Ra,12.0,Ministero Dell'Interno,7.0,0.0
6852Cae9205349164Be8Ee48,4.0,2023.0,12.0,Ministero Dell'Interno,Vr,4.0,5.0,1.0,202304.0,Giu 18 2025,Impiegato,Vr,12.0,Ministero Dell'Interno,4.0,5.0
6852Caf2205349164Bea9D2F,10.0,2023.0,1.0,Ministero Dell'Economia E Finanze,An,10.0,1.0,0.0,202310.0,2025-06-18T16:15:20.148346,Funzionario,An,1.0,Ministero Dell'Economia E Finanze,10.0,1.0
6852Caf0205349164Bea5Ebc,7.0,2023.0,19.0,Ministero Universita' E Ricerca,Ms,8.0,10.0,6.0,202307.0,2025-06-18T16:15:20.148346,Impiegato,Ms,19.0,Ministero Universita' E Ricerca,8.0,10.0
