_id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation-time,area_geografica,Tipo Imposta,SPESA TOTALE,2cod_imposta,cod imposta ext,ente%code
65Ee5Ac5F458Af56D2Af532F,202402.0,867.0,Agenzia Italiana Del Farmaco - Aifa,2,Erariali,6.0,Irap,182904.47999999957,2024-03-11T02:01:04.421,Nord,Erariali,182904.47999999957,6,6,867.0
668F34120377F62206882Cd8,202406.0,921.0,A.O. S. Giovanni Addolorata,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,2110811.34,2024-07-11T03:01:16.866,Nord,Previdenziali,2110811.34,13,13,921.0
66E0Ee64F458Af54A5Dbc7Fa,202408.0,9.0,Ministero Della Giustizia,4,Varie,10.0,Ritenute Sindacali,732614.36,2024-09-11T03:01:11.704,Nord,Varie,732614.36,10,10,9.0
663Ec5Eb3F62190222Cfb590,202404.0,12.0,Ministero Dell'Interno,2,Erariali,6.0,Irap,43365008.73,2024-05-11T03:01:07.269,Nord,Erariali,43365008.73,6,6,12.0
6731590C568F146446645D59,202410.0,910.0,Azienda Sanitaria Locale Roma 6,2,Erariali,6.0,Irap,1310915.22,2024-11-11T02:00:28.485,Isole,Erariali,1310915.22,6,6,910.0
6667A4B8262Bc331Baee73E7,202405.0,805.0,Agenzia Nazionale Per La Sicurezza Del Volo,4,Da Definire,10.0,Ritenute Sindacali,256.53,2024-06-11T03:01:23.745,Isole,Varie,256.53,10,10,805.0
66E0Ee65F458Af54A5Dbc846,202408.0,802.0,Aran,4,Varie,10.0,Ritenute Sindacali,129.79,2024-09-11T03:01:11.704,Nord,Varie,129.79,10,10,802.0
6667A4C1262Bc331Bdcd0C31,202405.0,976.0,Istituto Musicale Pareggiato Della Valle D'Aosta,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,35440.470000000045,2024-06-11T03:01:23.745,Nord,Previdenziali,35440.470000000045,13,13,976.0
6667A4B7262Bc331Baee7368,202405.0,925.0,Autorita' Garante Per L'Infanzia E L'Adolescenza Agia,2,Erariali,6.0,Irap,8811.109999999997,2024-06-11T03:01:23.745,Isole,Erariali,8811.109999999997,6,6,925.0
663Ec5F43F62190222Cfb6B2,202404.0,17.0,Consiglio Di Stato E T.A.R.,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,1082321.9,2024-05-11T03:01:07.269,Isole,Previdenziali,1082321.9,14,14,17.0
671A7805568F1404768E2Bad,202409.0,964.0,Comune Di Caravaggio,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,55228.21000000009,2024-10-24T18:30:35.560,Sud,Previdenziali,55228.21000000009,13,13,964.0
66E0Ee64F458Af54A5Dbc7E9,202408.0,805.0,Agenzia Nazionale Per La Sicurezza Del Volo,2,Erariali,6.0,Irap,18179.48,2024-09-11T03:01:11.704,Isole,Erariali,18179.48,6,6,805.0
6731590B5C833340B426Ae8F,202410.0,7.0,Ministero Degli Affari Esteri E Della Cooperazione Internazionale,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,1372440.41,2024-11-11T02:00:28.485,Nord,Previdenziali,1372440.41,14,14,7.0
671A780D568F1404768E2Be2,202409.0,32.0,N.D.,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,2192935.659999926,2024-10-24T18:30:35.560,Nord,Previdenziali,2192935.659999926,13,13,32.0
6731590C568F146439948Fc6,202410.0,831.0,Comune Di Corleto Monforte,2,Erariali,8.0,Addizionali Comunali,42.36,2024-11-11T02:00:28.485,Isole,Erariali,42.36,8,8,831.0
661738E5262Bc367A2350455,202403.0,13.0,Ministero Delle Imprese E Del Made In Italy,1,Netto,15.0,Netto,7639226.66,2024/04/11,Nord,Netto,7639226.66,15,15,13.0
65C81F2B3F62191D310D649C,202401.0,945.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,2,Erariali,7.0,Addizionali Regionali,15.760000000000002,2024-02-11T02:01:21.381,Isole,Erariali,15.760000000000002,7,7,945.0
668F34090377F62206882C42,202406.0,10.0,Ministero Della Salute,2,Erariali,5.0,Irpef,1717613.32,2024-07-11T03:01:16.866,Nord,Erariali,1717613.32,5,5,10.0
6667A4B8262Bc331Baee73B2,202405.0,976.0,Istituto Musicale Pareggiato Della Valle D'Aosta,2,Erariali,7.0,-,2358.89,2024-06-11T03:01:23.745,Isole,Erariali,2358.89,7,7,976.0
663Ec5F53F62190222Cfb761,202404.0,948.0,A.O.R.N. Antonio Cardarelli,3,Previdenziali,13.0,//,3887279.49,2024-05-11T03:01:07.269,Isole,Previdenziali,3887279.49,13,13,948.0
668F34089B1C1405Cffd2D73,202405.0,32.0,Istituto Superiore Di Sanita',2,Erariali,5.0,Irpef,2379279.230000006,2024-07-11T03:01:16.866,Centro,Erariali,2379279.230000006,5,5,32.0
6731590B5C833340B426Aedf,202410.0,960.0,Autorita' Di Bacino Distr. Dell'Appennino Settentrionale,1,Netto,15.0,Netto,99991.98,2024-11-11T02:00:28.485,Nord,Netto,99991.98,15,15,960.0
6667A4B8262Bc331Bdcd0Bc9,202405.0,3856.8613671602207,Agenzia Per L'Italia Digitale,2,Erariali,6.0,Irap,40172.71000000007,2024-06-11T03:01:23.745,Centro,Erariali,40172.71000000007,6,6,3905.0262011891273
659F417C9B1C1468E2E39A43,202321.9562308086,829.0,Agenzia Italiana Del Farmaco - Aifa,2,Erariali,6.0,Irap,594040.740000015,2024-01-11T02:01:40.336,Nord,Erariali,594040.740000015,6,6,867.0
661738E4262Bc367A2350409,202403.0,829.0,Ipab Istituto Di Beneficenza E Scolastico Sac. M. Scriffignano Siscaro,2,Erariali,7.0,Addizionali Regionali,32.88,2024-04-11T03:00:48.766,Isole,Erariali,32.88,7,7,975.0
668F34079B1C1405Cffd2C96,202406.0,4.0,?,4,Varie,9.0,Riscatti,9518447.34,2024-07-11T03:01:16.866,Isole,Varie,9518447.34,9,9,4.0
66Bf60490377F64B681B515F,202407.0,28.0,Consiglio Per Ric. In Agricoltura E Analisi Economia Agraria,2,Erariali,6.0,Irap,495640.7400000147,2024-08-16T16:11:01.334,Isole,Erariali,495640.7400000147,6,6,28.0
668F34079B1C1405Cffd2Ce2,202405.0,945.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,17410.559999999998,2024-07-11T03:01:16.866,Isole,Previdenziali,17410.559999999998,13,13,945.0
6731590C568F146444A34E41,202410.0,954.0,//,1,Netto,15.0,Netto,10455819.51,2024-11-11T02:00:28.485,Nord,Netto,10455819.51,15,15,954.0
66Bf604B0377F64Bd0Cd25Db,202407.0,930.0,Azienda Sanitaria Locale Latina,2,Erariali,6.0,Irap,1052848.75,2024-08-16T16:11:01.334,Sud,Erariali,1052848.75,6,6,930.0
661738E49B1C14196E7Da353,202403.0,843.0,Anvur(Agenzia Naz.Valutazione Sist.Universitario E Ricerca),2,Erariali,5.0,Irpef,64367.77000000001,2024-04-11T03:00:48.766,Isole,Erariali,64367.77000000001,5,5,843.0
663Ec5F43F62190222Cfb6Da,202404.0,829.0,N.D.,2,Erariali,5.0,Irpef,1612476.75,2024-05-11T03:01:07.269,Isole,Erariali,1612476.75,5,5,10.0
671A780D568F1404768E2Bd7,202409.0,963.0,Autorita' Di Bacino Distrettuale Dell'Appennino Meridionale,2,Erariali,6.0,Irap,29953.740000000013,24.10.2024,Isole,Erariali,29953.740000000013,6,6,963.0
6667A4B8262Bc331Baee73C8,202405.0,958.0,Autorita' Di Bacino Distrettuale Dell'Appennino Centrale,2,Erariali,8.0,Addizionali Comunali,2357.9,11.06.2024,Centro,Erariali,2357.9,8,8,958.0
663Ec5F33F62190222Cfb66C,202404.0,28.0,Consiglio Per Ric. In Agricoltura E Analisi Economia Agraria,4,Varie,12.0,Altre Voci,26784.229999999792,2024-05-11T03:01:07.269,Sud,Varie,26784.229999999792,12,12,28.0
66E0Ee5Cf458Af5423Ceb4Bf,202408.0,32.0,Istituto Superiore Di Sanita',4,Varie,11.0,Prestiti,74791.1,2024-09-11T03:01:11.704,Nord,Varie,74791.1,11,11,32.0
663Ec5F33F62190222Cfb64D,202404.0,4.0,Ministero Dell'Istruzione E Del Merito,2,Erariali,8.0,Addizionali Comunali,87912478.86,2024-05-11T03:01:07.269,Centro,Erariali,87912478.86,8,8,4.0
661738E49B1C14196E7Da2F4,202403.0,3856.8613671602207,Agenzia Per L'Italia Digitale,4,Varie,12.0,//,2483.109999999999,2024-04-11T03:00:48.766,Sud,Varie,2483.109999999999,12,12,3905.0262011891273
663Ec5F33F62190222Cfb632,202404.0,28.0,Consiglio Per Ric. In Agricoltura E Analisi Economia Agraria,2,Erariali,7.0,Addizionali Regionali,179848.42,2024-05-11T03:01:07.269,Nord,Erariali,179848.42,7,7,28.0
668F34079B1C1405Cffd2D0A,202406.0,805.0,Agenzia Nazionale Per La Sicurezza Del Volo,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,23136.35000000001,2024-07-11T03:01:16.866,Isole,Previdenziali,23136.35000000001,13,13,805.0
668F34079B1C1405Cffd2D3E,202406.0,976.0,Istituto Musicale Pareggiato Della Valle D'Aosta,3,Previdenziali,14.0,Previdenziali A Carico Del Datore Di Lavoro,8245.240000000027,2024-07-11T03:01:16.866,Sud,Previdenziali,8245.240000000027,14,14,976.0
668F34079B1C1405Cffd2D05,202406.0,964.0,Comune Di Caravaggio,2,Erariali,5.0,Irpef,62372.30999999998,2024-07-11T03:01:16.866,Isole,Erariali,62372.30999999998,5,5,964.0
661738E49B1C1417E85D36B8,202403.0,6.0,Ministero Dell'Ambiente E Della Sicurezza Energetica,2,Erariali,8.0,Addizionali Comunali,61257.08,2024-04-11T03:00:48.766,Nord,Erariali,61257.08,8,8,6.0
663Ec5Ea3F62190222Cfb548,202404.0,829.0,Ente Parco Nazionale Del Gran Sasso E Monti Della Laga,4,Varie,11.0,Prestiti,1799.29,2024-05-11T03:01:07.269,Centro,Varie,1799.29,11,11,945.0
